hhid,yr04,acres,lacres,aehhsize,hhsize,offrinc,hyb_F,hybmz_F,hybfmz_F,revlsprod1_F,revlsprod2_F,revlssold_F,revls1_F,revls2_F,revctot_F,revcmaiz_F,revcrp,revls,lrevcrp,lrevls,costlp_F,costsdtot_F,costlsvar_F,costlspurch_F,costls_F,costlabhwg_F,costlabhcon_F,costlabhboth_F,costlabhwgM_F,costlabhconM_F,costlabhbothM_F,costlabhwgPRE_F,costlabhconPRE_F,costlabhbothPRE_F,costlabhwgPOST_F,costlabhconPOST_F,costlabhbothPOST_F,costlp2_F,costfdap_F,costfcan_F,costfman_F,costftot_F,costfdcm_F,costsdtot2_F,costsdmaiz_F,costctotnolab_F,costctot_F,costctotM_F,costctotPRE_F,costctotPOST_F,costctot2_F,costctotM2_F,costctotPRE2_F,costctotPOST2_F,costctot3_F,costctotM3_F,costctotPRE3_F,costctotPOST3_F,costcrp,costls,lcostcrp,lcostls,yieldtot_F,yieldmaiz,fertacdap_F,fertaccan_F,fertacman_F,fertactot_F,fertacdcm_F,kgfertDAP,kgfertCAN,kgfertMAN,kgfertTOT,kgfertDCM,kgctot_F,kgcsoldtot_F,kgmaiz,kgcsoldmaiz_F,labhwg_daywage2,labhwg_daywage_vil,labhwg_daywage_dist,labhwg_daywageM_vil,labhwg_daywagePRE_vil,labhwg_daywagePOST_vil,labhwg_daywageM_dist,labhwg_daywagePRE_dist,labhwg_daywagePOST_dist,labhwg,labhcon,labhwg_qtyM_F,labhwg_qtyPRE_F,labhwg_qtyPOST_F,labhcon_qtyM_F,labhcon_qtyPRE_F,labhcon_qtyPOST_F,labfamchil_qtyM_F,labfamchil_qtyPRE_F,labfamchil_qtyPOST_F,labfamfem_qtyM_F,labfamfem_qtyPRE_F,labfamfem_qtyPOST_F,labfammale_qtyM_F,labfammale_qtyPRE_F,labfammale_qtyPOST_F,llabhwg_daywage_dist,llabhwg,llabhcon,pkgctot_F,pkgctot_vil,pkgctot_div,pkgctot_dist,pkgctot_prov,pkgmaiz,pkgcmaiz_vil,pkgcmaiz_div,pkgcmaiz_dist,pkgcmaiz_prov,pkgfertDAP,pkgfdap_vil,pkgfdap_div,pkgfdap_dist,pkgfdap_prov,pkgfertCAN,pkgfcan_vil,pkgfcan_div,pkgfcan_dist,pkgfcan_prov,pkgfertMAN,pkgfman_vil,pkgfman_div,pkgfman_dist,pkgfman_prov,pkgfertTOT,pkgftot_vil,pkgftot_div,pkgftot_dist,pkgftot_prov,pkgfertDCM,pkgfdcm_vil,pkgfdcm_div,pkgfdcm_dist,pkgfdcm_prov,drainage,dumdrainage,ldrainage,rain,rainPC,diffrain,lrain,lrainsq,lrainPC,lrainsqPC,tmax,tmaxPC,difftmax,ltmax,ltmaxsq,ltmaxPC,ltmaxsqPC,tmin,tminPC,difftmin,ltmin,ltminsq,ltminPC,ltminsqPC,lrltx,lrltn,lrltxPC,lrltnPC,ltxltn,ltxltnPC,prov,dist,div,location,subloc,vil,aez,aezsmall,zone,age,educ,gend,ageavg,educavg,dmtroad,dtmroad,dextn,latitude,longitude,main04,short04,mainstress04,qwetpre,qwetit,qwetxt,QWETM1,qwetxtdiv,qwetitdiv,qwetprediv,QWETM1div,qwetPC10a2axtE1,qwetPC10a2aitE1,qwetPC10a2apreE1,famchil,famfem,fammale,pctsoldtot_F,pctsoldmaiz_F,depth,dumdepth,ldepth,dummaiz,lkgmaiz,lyieldmaiz,lpkgmaiz,dumkgfertDAP,lkgfertDAP,lpkgfertDAP,dumkgfertCAN,lkgfertCAN,lpkgfertCAN,dumkgfertMAN,lkgfertMAN,lpkgfertMAN,dumkgfertTOT,lkgfertTOT,lpkgfertTOT,dumkgfertDCM,lkgfertDCM,lpkgfertDCM,dumlabhwg,dumlabhcon,dumfem,lfamfem,dumchil,lfamchil,dummale,lfammale,dumdmtroad,ldmtroad,dumdtmroad,ldtmroad,dumdextn,ldextn,dumeduc,leduc,dumeducavg,leducavg,dumage,lage,dumageavg,lageavg
2,1,8.25,2.11021328,2.573333333,3.416666667,0,1,1,1,99050,15000,0,99050,15000,174100,6300,174100,99050,12.06738472,11.50337982,20800,14880,2460,0,2460,0,0,0,0,0,0,0,0,0,0,0,0,20800,0,1200,48.9375,2808.9375,1248.9375,130,130,38488.9375,38488.9375,38488.9375,38488.9375,38488.9375,38488.9375,38488.9375,38488.9375,38488.9375,38488.9375,38488.9375,38488.9375,38488.9375,38488.9375,2460,10.55812645,7.807916641,1373.090942,65.45454407,0,6.060606003,2.727272749,16.18181801,8.78787899,0,50,22.5,133.5,72.5,11328,10080,540,0,,84.21052551,94.70149231,77.64705658,80,88.8888855,85.56700897,105.3947372,80.68965149,0,0,0,0,0,0,0,0,0,0,0,101,37,64,629,556.25,309,4.550729752,0,0,15.36899757,12.34475231,12.19403934,11.12781429,9.843882561,0.625,4.904961109,8.90040493,11.04930782,18.58786201,28.45443344,28.45443344,28.40089226,28.42556572,28.39728546,24,24.23749924,24.40428925,24.29489326,23.7670517,2.174999952,2.174999952,2.174999952,2.174999952,2.174158335,21.04072952,19.32365799,15.79224968,13.21097183,11.59571075,17.22672462,18.87596703,15.39075565,12.86776638,11.35972404,,1,2.079441547,824.7000122,530.5999756,-294.1000366,6.715019703,45.09148788,6.274008274,39.36318207,22.15999985,26.58666611,4.42666626,3.098288774,9.599393845,3.280409813,10.76108837,9.630000114,13,3.369999886,2.26488328,5.129695892,2.564949274,6.578965187,20.80507088,15.20873547,20.5813179,16.09251404,7.017262459,8.414085388,Rift Valley,Uasin Gishu,Moiben,Sergoit,Chepkoilel,Tugen Estate,LH  - Lower highland,LH3,High Potential Maize Zone,22,,1,51.33333206,6.666666508,,numbers,tonnes,0.699999988,35.40000153,824.7000122,,0.125,405,9.63,22.16,crate,22.05999947,9.682499886,404.75,5.5,26.58666611,13,530.5999756,0,101,865.25,0.88983053,0,,1,1.386294365,1,6.291569233,4.181355953,-0.470003635,0,0,3.348304033,1,3.912023067,3.178053856,1,3.113515377,0.77702862,1,4.89410162,3.046460152,1,4.283586502,2.846462011,0,0,1,4.615120411,0,0,1,6.763018608,1,-1.203972816,1,1.609437943,1,2.302585125,1,2.708050251,1,1.897119999,1,3.091042519,1,3.938340187
4,1,3.200000048,1.163150787,3.801666667,4.666666667,0,1,1,0,56100,8000,20000,76100,28000,40200,8400,40200,76100,10.60162258,11.23980331,6500,5726.25,2820,0,2820,378.8059692,1060,1438.805908,0,1060,1060,0,700,700,322.758606,360,682.758606,6500,3100,0,0,3100,3100,125,125,15326.25,15705.05566,15326.25,15326.25,15649.00879,16386.25,16386.25,16026.25,15686.25,16765.05664,16386.25,16026.25,16009.00879,15705.05566,2820,9.661738396,7.94449234,832.5,225,34.375,0,0,34.375,34.375,110,0,0,110,110,2664,1395,720,0,,84.21052551,94.70149231,77.64705658,80,88.8888855,85.56700897,105.3947372,80.68965149,4,11.19306564,0,0,4,11.19306564,7.391646862,3.801418543,20,20,0,413,44,369,438,336,314,4.550729752,1.386294365,2.415294409,15.0900898,12.34475231,12.19403934,11.12781429,9.843882561,6.021505356,4.904961109,8.90040493,11.04930782,18.58786201,28.18181801,28.45443344,28.40089226,28.42556572,28.39728546,24.23749924,24.23749924,24.40428925,24.29489326,23.7670517,2.174999952,2.174999952,2.174999952,2.174999952,2.174158335,28.18181801,19.32365799,15.79224968,13.21097183,11.59571075,28.18181801,18.87596703,15.39075565,12.86776638,11.35972404,,1,2.079441547,824.7000122,530.5999756,-294.1000366,6.715019703,45.09148788,6.274008274,39.36318207,22.15999985,26.58666611,4.42666626,3.098288774,9.599393845,3.280409813,10.76108837,9.630000114,13,3.369999886,2.26488328,5.129695892,2.564949274,6.578965187,20.80507088,15.20873547,20.5813179,16.09251404,7.017262459,8.414085388,Rift Valley,Uasin Gishu,Moiben,Sergoit,Chepkoilel,Tugen Estate,LH  - Lower highland,LH3,High Potential Maize Zone,22,,0,42,5.800000191,,numbers,,0.699999988,35.40000153,824.7000122,,0.125,405,9.63,22.16,crate,22.05999947,9.682499886,404.75,5.5,26.58666611,13,530.5999756,20,413,650,0.52364862,0,,1,1.386294365,1,6.579251289,5.416100502,1.795337319,1,4.700480461,3.338676929,0,0,3.18790102,0,0,0.77702862,1,4.700480461,3.338676929,1,4.700480461,3.338676929,1,1,1,6.023447514,1,2.995732307,1,6.47697258,1,-2.302585125,1,1.609437943,1,2.079441547,1,2.484906673,1,1.757857919,1,3.091042519,1,3.737669706
5,1,18.29999924,2.906901121,3.896666667,4.458333333,144000,1,1,1,98700,-500,16000,114700,15500,204980.7969,42000,204980.7969,114700,12.23067188,11.65007496,28800,26740,18340,10500,28840,12500.59668,12060,24560.59766,11294.8457,9660,20954.8457,13912.10547,5700,19612.10547,0,6360,6360,28800,26040,0,121.7999954,50186.80078,26161.80078,232,132,105726.7969,118227.3984,117021.6484,119638.9063,105726.7969,117786.7969,115386.7969,111426.7969,112086.7969,130287.3984,126681.6484,125338.9063,112086.7969,118227.3984,28840,11.68036556,10.26951885,767.4907227,196.7213135,50.82513809,0,3.060109377,103.1338806,53.88524628,930.0999756,0,56,1887.349976,986.0999756,14045.08008,3653.47998,3600,360,,84.21052551,94.70149231,77.64705658,80,88.8888855,85.56700897,105.3947372,80.68965149,132,127.3475189,132,132,0,102.0047302,60.18912506,67.15839386,0,0,0,106,76,30,45,5,40,4.550729752,4.88280201,4.846919537,14.594491,12.34475231,12.19403934,11.12781429,9.843882561,11.49588871,4.904961109,8.90040493,11.04930782,18.58786201,27.9969902,28.45443344,28.40089226,28.42556572,28.39728546,24.23749924,24.23749924,24.40428925,24.29489326,23.7670517,2.174999952,2.174999952,2.174999952,2.174999952,2.174158335,26.59114647,19.32365799,15.79224968,13.21097183,11.59571075,26.53057671,18.87596703,15.39075565,12.86776638,11.35972404,,1,2.079441547,824.7000122,530.5999756,-294.1000366,6.715019703,45.09148788,6.274008274,39.36318207,22.15999985,26.58666611,4.42666626,3.098288774,9.599393845,3.280409813,10.76108837,9.630000114,13,3.369999886,2.26488328,5.129695892,2.564949274,6.578965187,20.80507088,15.20873547,20.5813179,16.09251404,7.017262459,8.414085388,Rift Valley,Uasin Gishu,Moiben,Sergoit,Chepkoilel,Tugen Estate,LH  - Lower highland,LH3,High Potential Maize Zone,36,,0,43.33333206,6.833333492,,tonnes,litre,0.699999988,35.40000153,824.7000122,,0.125,405,9.63,22.16,crate,22.05999947,9.682499886,404.75,5.5,26.58666611,13,530.5999756,0,106,45,0.26012525,0.098536193,,1,1.386294365,1,8.188689232,5.281787872,2.441989422,1,6.835291862,3.332097054,0,0,3.18790102,1,4.025351524,0.77702862,1,7.542929173,3.280578375,1,6.89375782,3.278297901,1,1,1,4.663439274,0,0,1,3.80666256,0,0,1,2.302585125,1,1.098612309,1,2.484906673,1,1.921812654,1,3.583518982,1,3.768922091
6,1,17.29999924,2.850706339,6.005,7.25,0,1,1,1,17275,7200,10000,27275,17200,204885,105000,204885,27275,12.23020458,10.21372604,22450,27292.25,32060,8000,40060,8712.537109,9150,17862.53711,6845.36084,6650,13495.36133,4637.368164,8400,13037.36816,3873.103271,750,4623.103516,22450,7430,5400,0,12830,12830,2760.800049,256,62572.25,71284.78906,69417.60938,67209.61719,66445.35156,71722.25,69222.25,70972.25,63322.25,80434.78906,76067.60938,75609.61719,67195.35156,71284.78906,40060,11.17443848,10.59813404,877.7110596,520.2312622,15.32948112,13.00578117,0,28.3352623,28.3352623,265.2000122,225,0,490.2000122,490.2000122,15184.40039,12481,9000,7200,,84.21052551,94.70149231,77.64705658,80,88.8888855,85.56700897,105.3947372,80.68965149,92,96.61938477,80,44,48,70.22064972,88.69976807,7.919621944,84,84,0,158,143,15,74,59,15,4.550729752,4.521788597,4.570779324,13.49312401,12.34475231,12.19403934,11.12781429,9.843882561,8.412787437,4.904961109,8.90040493,11.04930782,18.58786201,28.01659012,28.45443344,28.40089226,28.42556572,28.39728546,24,24.23749924,24.40428925,24.29489326,23.7670517,2.174999952,2.174999952,2.174999952,2.174999952,2.174158335,26.1729908,19.32365799,15.79224968,13.21097183,11.59571075,26.1729908,18.87596703,15.39075565,12.86776638,11.35972404,,1,2.079441547,824.7000122,530.5999756,-294.1000366,6.715019703,45.09148788,6.274008274,39.36318207,22.15999985,26.58666611,4.42666626,3.098288774,9.599393845,3.280409813,10.76108837,9.630000114,13,3.369999886,2.26488328,5.129695892,2.564949274,6.578965187,20.80507088,15.20873547,20.5813179,16.09251404,7.017262459,8.414085388,Rift Valley,Uasin Gishu,Moiben,Sergoit,Chepkoilel,Tugen Estate,LH  - Lower highland,LH3,High Potential Maize Zone,15,,0,38.75,7,litre,,90 kg bag,0.699999988,35.40000153,824.7000122,,0.125,405,9.63,22.16,crate,22.05999947,9.682499886,404.75,5.5,26.58666611,13,530.5999756,84,158,74,0.821961999,0.576876879,,1,1.386294365,1,9.104979515,6.254273415,2.129752874,1,5.58048439,3.332796812,1,5.416100502,3.178053856,0,0,0.77702862,1,6.194813728,3.264728069,1,6.194813728,3.264728069,1,1,1,5.062594891,1,4.43081665,1,4.304065228,1,1.098612309,1,2.079441547,1,0,1,2.197224617,1,1.945910096,1,2.708050251,1,3.657130718
8,1,8.199999809,2.104134083,4.2275,5,80200,1,1,1,39450,0,15000,54450,15000,194017.5469,33946.42969,194017.5469,54450,12.175704,10.90503788,10220,19548.85,10020,0,10020,1515.223877,2380,3895.223877,1369.072144,2380,3749.072266,1686.315796,400,2086.315918,0,1980,1980,10220,15370,3566,313.1999817,21849.19922,19249.19922,3693,130,51618.05078,53133.27344,52987.12109,53304.36328,51618.05078,53998.05078,53998.05078,52018.05078,53598.05078,55513.27344,55367.12109,53704.36328,53598.05078,53133.27344,10020,10.88055897,9.212338448,1969.906128,366.7134399,66.34146118,17.56097603,17.56097603,113.6585388,101.4634171,544,144,144,932,832,16153.22949,11275.7002,3007.050049,900,,84.21052551,94.70149231,77.64705658,80,88.8888855,85.56700897,105.3947372,80.68965149,16,25.13159943,16,16,0,25.13159943,4.223798275,20.90780067,120,80,40,213,134,228,126,112.5,202,4.550729752,2.77258873,3.224126101,12.01106834,12.34475231,12.19403934,11.12781429,9.843882561,3.010582924,4.904961109,8.90040493,11.04930782,18.58786201,28.25367737,28.45443344,28.40089226,28.42556572,28.39728546,24.76388931,24.23749924,24.40428925,24.29489326,23.7670517,2.174999952,2.174999952,2.174999952,2.174999952,2.174158335,23.44334602,19.32365799,15.79224968,13.21097183,11.59571075,23.1360569,18.87596703,15.39075565,12.86776638,11.35972404,,1,2.079441547,824.7000122,530.5999756,-294.1000366,6.715019703,45.09148788,6.274008274,39.36318207,22.15999985,26.58666611,4.42666626,3.098288774,9.599393845,3.280409813,10.76108837,9.630000114,13,3.369999886,2.26488328,5.129695892,2.564949274,6.578965187,20.80507088,15.20873547,20.5813179,16.09251404,7.017262459,8.414085388,Rift Valley,Uasin Gishu,Moiben,Sergoit,Chepkoilel,Tugen Estate,LH  - Lower highland,LH3,High Potential Maize Zone,15,,1,29.8571434,8.142857552,,handfuls,,0.699999988,35.40000153,824.7000122,,0.125,405,9.63,22.16,crate,22.05999947,9.682499886,404.75,5.5,26.58666611,13,530.5999756,120,362,314.5,0.698046207,0.07981766,,1,1.386294365,1,8.008714676,5.904580593,1.102133751,1,6.298949242,3.341223717,1,4.969813347,3.209386587,1,4.969813347,0.77702862,1,6.837332726,3.154586792,1,6.723832607,3.141392231,1,1,1,5.891644001,1,4.787491798,1,5.750984192,1,-0.693147182,1,1.945910096,1,-0.693147182,1,1.609437943,1,2.097141266,1,2.708050251,1,3.396424055
9,1,0.699999988,-0.356674969,2.08,2.25,0,1,1,1,0,0,0,0,0,17011.51563,8400,17011.51563,0,9.741645813,,1200,1373.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,700,0,0,700,700,125,125,3273.75,3273.75,3273.75,3273.75,3273.75,3273.75,3273.75,3273.75,3273.75,3273.75,3273.75,3273.75,3273.75,3273.75,0,8.093691826,,2108.928711,1028.571411,35.7142868,0,0,35.7142868,35.7142868,25,0,0,25,25,1476.25,780.25,720,540,,84.21052551,94.70149231,77.64705658,80,88.8888855,85.56700897,105.3947372,80.68965149,0,0,0,0,0,0,0,0,0,0,0,266,126,188,148,8,149,4.550729752,0,0,11.52346516,12.34475231,12.19403934,11.12781429,9.843882561,10.76578045,4.904961109,8.90040493,11.04930782,18.58786201,28,28.45443344,28.40089226,28.42556572,28.39728546,24.23749924,24.23749924,24.40428925,24.29489326,23.7670517,2.174999952,2.174999952,2.174999952,2.174999952,2.174158335,28,19.32365799,15.79224968,13.21097183,11.59571075,28,18.87596703,15.39075565,12.86776638,11.35972404,,1,2.079441547,824.7000122,530.5999756,-294.1000366,6.715019703,45.09148788,6.274008274,39.36318207,22.15999985,26.58666611,4.42666626,3.098288774,9.599393845,3.280409813,10.76108837,9.630000114,13,3.369999886,2.26488328,5.129695892,2.564949274,6.578965187,20.80507088,15.20873547,20.5813179,16.09251404,7.017262459,8.414085388,Rift Valley,Uasin Gishu,Moiben,Sergoit,Chepkoilel,Tugen Estate,LH  - Lower highland,LH3,High Potential Maize Zone,51,,1,28,6.666666508,,bunches,bunches,0.699999988,35.40000153,824.7000122,,0.125,405,9.63,22.16,crate,22.05999947,9.682499886,404.75,5.5,26.58666611,13,530.5999756,0,314,157,0.528535128,0.692085862,,1,1.386294365,1,6.579251289,6.935925961,2.376372576,1,3.218875885,3.33220458,0,0,3.18790102,0,0,0.77702862,1,3.218875885,3.33220458,1,3.218875885,3.33220458,0,0,1,5.749392986,0,0,1,5.056245804,1,-0.693147182,1,1.791759491,1,1.791759491,1,1.386294365,1,1.897119999,1,3.931825638,1,3.33220458
10,1,2.049999952,0.717839777,2.615,2.583333333,0,1,1,0,21960,10000,0,21960,10000,85921.42969,14700,85921.42969,21960,11.36118889,9.996977806,1200,3709.75,3308,0,3308,0,0,0,0,0,0,0,0,0,0,0,0,1200,300,0,4071.600098,4371.600098,4371.600098,217.5,120,9281.349609,9281.349609,9281.349609,9281.349609,9281.349609,9281.349609,9281.349609,9281.349609,9281.349609,9281.349609,9281.349609,9281.349609,9281.349609,9281.349609,3308,9.135762215,8.104099274,4415.287598,614.6341553,4.878048897,0,913.1707764,918.0488281,918.0488281,10,0,1872,1882,1882,9051.339844,7532,1260,270,,84.21052551,94.70149231,77.64705658,80,88.8888855,85.56700897,105.3947372,80.68965149,0,0,0,0,0,0,0,0,96,48,48,152,72,80,824,984,277,4.550729752,0,0,9.492674828,12.34475231,12.19403934,11.12781429,9.843882561,1.951672912,4.904961109,8.90040493,11.04930782,18.58786201,30,28.45443344,28.40089226,28.42556572,28.39728546,24.23749924,24.23749924,24.40428925,24.29489326,23.7670517,2.174999952,2.174999952,2.174999952,2.174999952,2.174158335,2.322848082,19.32365799,15.79224968,13.21097183,11.59571075,2.322848082,18.87596703,15.39075565,12.86776638,11.35972404,,1,2.079441547,824.7000122,530.5999756,-294.1000366,6.715019703,45.09148788,6.274008274,39.36318207,22.15999985,26.58666611,4.42666626,3.098288774,9.599393845,3.280409813,10.76108837,9.630000114,13,3.369999886,2.26488328,5.129695892,2.564949274,6.578965187,20.80507088,15.20873547,20.5813179,16.09251404,7.017262459,8.414085388,Rift Valley,Uasin Gishu,Moiben,Sergoit,Chepkoilel,Tugen Estate,LH  - Lower highland,LH3,High Potential Maize Zone,26,,1,32.11111069,6.888888836,kg,debe,litre,0.699999988,35.40000153,824.7000122,,0.125,405,9.63,22.16,crate,22.05999947,9.682499886,404.75,5.5,26.58666611,13,530.5999756,96,152,1261,0.832141995,0.035847053,,1,1.386294365,1,7.138866901,6.421027184,0.668686926,1,2.302585125,3.401197433,0,0,3.18790102,1,7.534762859,0.77702862,1,7.540090084,0.842794061,1,7.540090084,0.842794061,0,0,1,5.023880482,1,4.564348221,1,7.139660358,1,0.693147182,1,2.484906673,1,1.098612309,1,2.079441547,1,1.929909825,1,3.258096457,1,3.469202042
11,1,8.81499958,2.176454782,7.916666667,9.416666667,13170,1,1,1,29850,14300,4300,34150,18600,221868.0938,63000,221868.0938,34150,12.30983829,10.43851757,17500,11850.5,9880,0,9880,378.8059692,500,878.8059692,342.2680359,500,842.2680664,0,0,0,322.758606,500,822.758606,17500,12700,4800,848.25,21985.75,18348.25,165.5,96,51336.25,51715.05469,51678.51953,51336.25,51659.00781,51836.25,51836.25,51336.25,51836.25,52215.05469,52178.51953,51336.25,52159.00781,51715.05469,9880,10.85350418,9.198267937,1913.470825,612.5922241,51.04935074,22.68860054,44.24277115,135.1673279,117.9807205,450,200,390,1191.5,1040,16867.24414,12593.2002,5400,3600,,84.21052551,94.70149231,77.64705658,80,88.8888855,85.56700897,105.3947372,80.68965149,4,5.279747963,4,0,4,5.279747963,0,5.279747963,0,0,0,223,142,141,4996,3072,3324,4.550729752,1.386294365,1.663878322,13.15378475,12.34475231,12.19403934,11.12781429,9.843882561,5.002699852,4.904961109,8.90040493,11.04930782,18.58786201,28.22222137,28.45443344,28.40089226,28.42556572,28.39728546,24,24.23749924,24.40428925,24.29489326,23.7670517,2.174999952,2.174999952,2.174999952,2.174999952,2.174158335,18.45216179,19.32365799,15.79224968,13.21097183,11.59571075,17.64254761,18.87596703,15.39075565,12.86776638,11.35972404,,1,2.079441547,824.7000122,530.5999756,-294.1000366,6.715019703,45.09148788,6.274008274,39.36318207,22.15999985,26.58666611,4.42666626,3.098288774,9.599393845,3.280409813,10.76108837,9.630000114,13,3.369999886,2.26488328,5.129695892,2.564949274,6.578965187,20.80507088,15.20873547,20.5813179,16.09251404,7.017262459,8.414085388,Rift Valley,Uasin Gishu,Moiben,Sergoit,Chepkoilel,Tugen Estate,LH  - Lower highland,LH3,High Potential Maize Zone,22,,1,28.77777863,7,,gorogoro,,0.699999988,35.40000153,824.7000122,,0.125,405,9.63,22.16,crate,22.05999947,9.682499886,404.75,5.5,26.58666611,13,530.5999756,0,283,6396,0.746606886,0.285868555,,1,1.386294365,1,8.594154358,6.417699337,1.609977722,1,6.109247684,3.340109587,1,5.298317432,3.178053856,1,5.966146946,0.77702862,1,7.082968235,2.915181637,1,6.946976185,2.870313406,1,1,1,5.645446777,0,0,1,8.763427734,0,0,1,2.197224617,1,3.091042519,1,1.791759491,1,1.945910096,1,3.091042519,1,3.359603405
12,1,2,0.693147182,6.32,7,102000,1,0,0,40550,16000,0,40550,16000,46691.19922,8400,46691.19922,40550,10.7513113,10.61029148,0,1406,3900,0,3900,0,0,0,0,0,0,0,0,0,0,0,0,0,1400,1200,0,2600,2600,410,100,4006,4006,4006,4006,4006,4006,4006,4006,4006,4006,4006,4006,4006,4006,3900,8.295548439,8.268732071,2296.209961,360,25,25,0,50,50,50,50,0,100,100,4592.419922,3077.27002,720,0,,84.21052551,94.70149231,77.64705658,80,88.8888855,85.56700897,105.3947372,80.68965149,0,0,0,0,0,0,0,0,336,170,220,682,313,499,0,0,0,4.550729752,0,0,10.16701412,12.34475231,12.19403934,11.12781429,9.843882561,2.729692221,4.904961109,8.90040493,11.04930782,18.58786201,28,28.45443344,28.40089226,28.42556572,28.39728546,24,24.23749924,24.40428925,24.29489326,23.7670517,2.174999952,2.174999952,2.174999952,2.174999952,2.174158335,26,19.32365799,15.79224968,13.21097183,11.59571075,26,18.87596703,15.39075565,12.86776638,11.35972404,,1,2.079441547,824.7000122,530.5999756,-294.1000366,6.715019703,45.09148788,6.274008274,39.36318207,22.15999985,26.58666611,4.42666626,3.098288774,9.599393845,3.280409813,10.76108837,9.630000114,13,3.369999886,2.26488328,5.129695892,2.564949274,6.578965187,20.80507088,15.20873547,20.5813179,16.09251404,7.017262459,8.414085388,Rift Valley,Uasin Gishu,Moiben,Sergoit,Chepkoilel,Tugen Estate,LH  - Lower highland,LH3,High Potential Maize Zone,22,,1,27,8.166666985,,,,0.699999988,35.40000153,824.7000122,,0.125,405,9.63,22.16,crate,22.05999947,9.682499886,404.75,5.5,26.58666611,13,530.5999756,390,812,0,0.670075953,0,,1,1.386294365,1,6.579251289,5.886104107,1.004188895,1,3.912023067,3.33220458,1,3.912023067,3.178053856,0,0,0.77702862,1,4.60517025,3.258096457,1,4.60517025,3.258096457,0,0,1,6.699500561,1,5.966146946,0,0,0,0,1,2.079441547,1,3.091042519,1,2.484906673,1,2.10006094,1,3.091042519,1,3.295836926
13,1,2.599999905,0.955511391,10.44,11,28800,1,1,1,31500,-28600,0,31500,-28600,39100,18900,39100,31500,10.57387733,10.35774326,4940,5226.25,5610,0,5610,2841.044922,0,2841.044922,2567.010254,0,2567.010254,0,0,0,2420.689453,0,2420.689453,4200,1400,2400,0,7700,3800,137,122,17866.25,20707.29492,20433.25977,17866.25,20286.93945,17866.25,17866.25,17866.25,17866.25,20707.29492,20433.25977,17866.25,20286.93945,20707.29492,5610,9.938241005,8.632306099,1118.076904,623.0769653,19.23077011,38.46154022,0,115.3846207,57.69231033,50,100,0,300,150,2907,1530,1620,540,,84.21052551,94.70149231,77.64705658,80,88.8888855,85.56700897,105.3947372,80.68965149,30,0,30,0,30,0,0,0,0,0,0,29,12,62,171,128,129,4.550729752,3.401197433,0,13.45029259,12.34475231,12.19403934,11.12781429,9.843882561,12.35294151,4.904961109,8.90040493,11.04930782,18.58786201,28,28.45443344,28.40089226,28.42556572,28.39728546,24,24.23749924,24.40428925,24.29489326,23.7670517,2.174999952,2.174999952,2.174999952,2.174999952,2.174158335,25.66666603,19.32365799,15.79224968,13.21097183,11.59571075,25.33333397,18.87596703,15.39075565,12.86776638,11.35972404,,1,2.079441547,824.7000122,530.5999756,-294.1000366,6.715019703,45.09148788,6.274008274,39.36318207,22.15999985,26.58666611,4.42666626,3.098288774,9.599393845,3.280409813,10.76108837,9.630000114,13,3.369999886,2.26488328,5.129695892,2.564949274,6.578965187,20.80507088,15.20873547,20.5813179,16.09251404,7.017262459,8.414085388,Rift Valley,Uasin Gishu,Moiben,Sergoit,Chepkoilel,Tugen Estate,LH  - Lower highland,LH3,High Potential Maize Zone,17,,0,30.875,6.375,,bunches,cart,0.699999988,35.40000153,824.7000122,,0.125,405,9.63,22.16,crate,22.05999947,9.682499886,404.75,5.5,26.58666611,13,530.5999756,0,74,257,0.526315808,0.352941185,,1,1.386294365,1,7.390181541,6.434669971,2.51389432,1,3.912023067,3.33220458,1,4.60517025,3.178053856,0,0,0.77702862,1,5.703782558,3.245193005,1,5.010635376,3.232120991,1,0,1,4.304065228,0,0,1,5.54907608,1,-1.609437943,1,1.791759491,1,2.708050251,1,2.197224617,1,1.85238409,1,2.833213329,1,3.429946899
