hhid,yr07,acres,lacres,aehhsize,hhsize,offrinc,hyb_F,hybmz_F,hybfmz_F,hybfmz2_F,revlssoldc_F,revlssoldo_F,revlsprodc_F,revlsprodo_F,revlsmilk_F,revlsprod1_F,revlsprod2_F,revlssold_F,revlsc_F,revls1_F,revls2_F,revls3_F,revctot_F,revcmaiz_F,revcrp,revls,lrevcrp,lrevls,costlp_F,costsdtot_F,costlspurchc_F,costlspurch_F,costlsvar2_F,costlsvar1_F,costls1c_F,costls1_F,costls2c_F,costls2_F,costlabhwg_F,costlabhcon_F,costlabhboth_F,costlabhwgM_F,costlabhconM_F,costlabhbothM_F,costlabhwgPRE_F,costlabhconPRE_F,costlabhbothPRE_F,costlabhwgPOST_F,costlabhconPOST_F,costlabhbothPOST_F,costlp2_F,costfdap_F,costfcan_F,costfman_F,costftot_F,costfdcm_F,costsdtot2_F,costsdmaiz_F,costctotnolab_F,costctot_F,costctotM_F,costctotPRE_F,costctotPOST_F,costctot2_F,costctotM2_F,costctotPRE2_F,costctotPOST2_F,costctot3_F,costctotM3_F,costctotPRE3_F,costctotPOST3_F,costcrp,costls,lcostcrp,lcostls,yieldtot_F,yieldmaiz,fertacdap_F,fertaccan_F,fertacman_F,fertactot_F,fertacdcm_F,kgfertDAP,kgfertCAN,kgfertMAN,kgfertTOT,kgfertDCM,kgctot_F,kgcsoldtot_F,kgmaiz,kgcsoldmaiz_F,labhwg_daywage2,labhwg_daywage_vil,labhwg_daywage_dist,labhwg_daywageM_vil,labhwg_daywagePRE_vil,labhwg_daywagePOST_vil,labhwg_daywageM_dist,labhwg_daywagePRE_dist,labhwg_daywagePOST_dist,labhwg,labhcon,labhwg_qtyM_F,labhwg_qtyPRE_F,labhwg_qtyPOST_F,labhcon_qtyM_F,labhcon_qtyPRE_F,labhcon_qtyPOST_F,labfamchil_qtyM_F,labfamchil_qtyPRE_F,labfamchil_qtyPOST_F,labfamfem_qtyM_F,labfamfem_qtyPRE_F,labfamfem_qtyPOST_F,labfammale_qtyM_F,labfammale_qtyPRE_F,labfammale_qtyPOST_F,llabhwg_daywage_dist,llabhwg,llabhcon,pkgctot_F,pkgctot_vil,pkgctot_div,pkgctot_dist,pkgctot_prov,pkgmaiz,pkgcmaiz_vil,pkgcmaiz_div,pkgcmaiz_dist,pkgcmaiz_prov,pkgfertDAP,pkgfdap_vil,pkgfdap_div,pkgfdap_dist,pkgfdap_prov,pkgfertCAN,pkgfcan_vil,pkgfcan_div,pkgfcan_dist,pkgfcan_prov,pkgfertMAN,pkgfman_vil,pkgfman_div,pkgfman_dist,pkgfman_prov,pkgfertTOT,pkgftot_vil,pkgftot_div,pkgftot_dist,pkgftot_prov,pkgfertDCM,pkgfdcm_vil,pkgfdcm_div,pkgfdcm_dist,pkgfdcm_prov,drainage,dumdrainage,ldrainage,rain,rainPC,diffrain,lrain,lrainsq,lrainPC,lrainsqPC,tmax,tmaxPC,difftmax,ltmax,ltmaxsq,ltmaxPC,ltmaxsqPC,tmin,tminPC,difftmin,ltmin,ltminsq,ltminPC,ltminsqPC,lrltx,lrltn,lrltxPC,lrltnPC,ltxltn,ltxltnPC,prov,dist,div,location,subloc,vil,aez,aezsmall,zone,age,educ,gend,ageavg,educavg,dextn,dmtroad,dtmroad,latitude,longitude,main07,short07,mainstress07,qwetpre,qwetit,qwetxt,QWETM1,qwetxtdiv,qwetitdiv,qwetprediv,QWETM1div,qwetPC10a2axtE1,qwetPC10a2aitE1,qwetPC10a2apreE1,famchil,famfem,fammale,pctsoldtot_F,pctsoldmaiz_F,depth,dumdepth,ldepth,dummaiz,lkgmaiz,lyieldmaiz,lpkgmaiz,dumkgfertDAP,lkgfertDAP,lpkgfertDAP,dumkgfertCAN,lkgfertCAN,lpkgfertCAN,dumkgfertMAN,lkgfertMAN,lpkgfertMAN,dumkgfertTOT,lkgfertTOT,lpkgfertTOT,dumkgfertDCM,lkgfertDCM,lpkgfertDCM,dumlabhwg,dumlabhcon,dumfem,lfamfem,dumchil,lfamchil,dummale,lfammale,dumdmtroad,ldmtroad,dumdtmroad,ldtmroad,dumdextn,ldextn,dumeduc,leduc,dumeducavg,leducavg,dumage,lage,dumageavg,lageavg
2,1,1,0,1.466666667,1.833333333,0,1,1,1,0,45000,0,0,3600,66300,255,3600,45000,45000,45255,48600,111300,13250,10750,13250,45255,9.491752625,10.72006798,1800,1500,0,0,8500,5220,5220,5220,8500,8500,0,0,0,0,0,0,0,0,0,0,0,0,1800,1700,0,1000,2700,2700,1200,1200,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,5220,8.699514389,8.560253143,1087.409912,997.4099731,50,0,500,550,550,50,0,500,550,550,1087.409912,0,997.4099731,0,100,118.75,105.223877,108.3333359,130,100,105.625,115.2777786,93.54838562,0,0,0,0,0,0,0,0,0,0,0,192,192,112,558,342,466,4.65609026,0,0,12.18491745,11.55343056,11.00905991,10.27090931,10.32773113,6.912678242,6.912678242,17.44545364,16.94570732,15.4458437,34,34.31707382,34.17511749,34.20154953,35.09943771,29.09714317,29.09714317,28.41881943,28.47829819,29.24797821,2,2.069892406,2.052463293,2.044748545,1.947020173,4.909090996,20.80302238,17.69549942,16.20542145,15.06414509,4.909090996,19.64051437,16.58206367,15.16552353,14.72443485,Aug,1,2.079441547,429.6494751,530.5999756,100.9505005,6.062969685,36.75960159,6.274008274,39.36318207,22.15999985,26.58666611,4.42666626,3.098288774,9.599393845,3.280409813,10.76108837,9.630000114,13,3.369999886,2.26488328,5.129695892,2.564949274,6.578965187,18.784832,13.73191833,20.5813179,16.09251404,7.017262459,8.414085388,Rift Valley,Uasin Gishu,Moiben,Sergoit,Chepkoilel,Tugen Estate,LH  - Lower highland,LH3,High Potential Maize Zone,64,pre school,1,43.75,2.25,,,,0.699999988,35.40000153,429.6494751,,0.5,405,9.63,22.16,Apr,22.05999947,9.682499886,404.75,5.5,26.58666611,13,530.5999756,0,304,808,0,,mod deep - deep,1,1.386294365,1,6.905161858,6.905161858,1.93335712,1,3.912023067,3.526360512,0,0,3.370640039,1,6.214608192,0.693147182,1,6.309918404,1.591088772,1,6.309918404,1.591088772,0,0,1,5.717027664,0,0,1,6.694561958,1,-0.223143548,1,0,1,0.693147182,0,0,1,0.810930192,1,4.158883095,1,3.778491497
3,1,5.599999905,1.722766638,2.413333333,2.666666667,514000,1,1,1,0,0,6000,0,-1050,22650,300,-1050,6000,0,6300,4950,28650,119550,17375,119550,6300,11.69149017,8.748305321,17100,10990,0,0,40720,32230,32230,32230,40720,40720,0,2557,2557,0,1657,1657,0,1800,1800,0,757,757,17100,13090,0,0,14370,13090,340,260,42460,42460,42460,42460,42460,45017,44117,44260,43217,45017,44117,44260,43217,42460,32230,10.65631771,10.38065338,1303.250977,281.9115906,68.75,0,0,75.89286041,68.75,385,0,0,425,385,7298.205078,6570,1578.704956,900,100,118.75,105.223877,108.3333359,130,100,105.625,115.2777786,93.54838562,0,24.30056763,0,0,0,15.74737644,17.10638428,7.194184303,0,0,0,78,24,54,54,0,54,4.65609026,0,3.190499783,16.38073921,11.55343056,11.00905991,10.27090931,10.32773113,2.644596577,6.912678242,17.44545364,16.94570732,15.4458437,34,34.31707382,34.17511749,34.20154953,35.09943771,29.09714317,29.09714317,28.41881943,28.47829819,29.24797821,2.069892406,2.069892406,2.052463293,2.044748545,1.947020173,33.81176376,20.80302238,17.69549942,16.20542145,15.06414509,34,19.64051437,16.58206367,15.16552353,14.72443485,Aug,1,2.079441547,429.6494751,530.5999756,100.9505005,6.062969685,36.75960159,6.274008274,39.36318207,22.15999985,26.58666611,4.42666626,3.098288774,9.599393845,3.280409813,10.76108837,9.630000114,13,3.369999886,2.26488328,5.129695892,2.564949274,6.578965187,18.784832,13.73191833,20.5813179,16.09251404,7.017262459,8.414085388,Rift Valley,Uasin Gishu,Moiben,Sergoit,Chepkoilel,Tugen Estate,LH  - Lower highland,LH3,High Potential Maize Zone,27,form 1,0,26.33333397,10,,,,0.699999988,35.40000153,429.6494751,,0.5,405,9.63,22.16,Apr,22.05999947,9.682499886,404.75,5.5,26.58666611,13,530.5999756,0,78,54,0.900221348,0.1369863,mod deep - deep,1,1.386294365,1,7.364360332,5.641593456,0.972518504,1,5.953243256,3.526360512,0,0,3.370640039,0,0,0.727496624,1,6.052089214,3.520808697,1,5.953243256,3.526360512,0,1,1,4.356709003,0,0,1,3.988984108,1,-0.91629076,1,-0.223143548,1,-0.693147182,1,2.197224617,1,2.302585125,1,3.295836926,1,3.270835638
4,1,2.650000095,0.974559665,1.243333333,1.5,5000,1,1,1,0,0,0,0,9000,44100,3000,9000,0,0,3000,9000,44100,29840,15500,29840,3000,10.30360508,8.006367683,5575,4646,0,0,4220,1200,1200,1200,4220,4220,0,420,420,0,420,420,0,0,0,0,420,420,5575,3400,0,200,3750,3600,3200.5,1200,13971,13971,13971,13971,13971,14391,14391,13971,14391,14391,14391,13971,14391,13971,1200,9.54473877,7.090076923,869.7432861,548.9886475,37.73584747,0,37.73584747,75.84905243,75.47169495,100,0,100,201,200,2304.819824,1135,1454.819946,450,100,118.75,105.223877,108.3333359,130,100,105.625,115.2777786,93.54838562,0,3.99148941,0,0,0,3.99148941,0,3.99148941,0,0,0,32,0,32,1702,1587,277,4.65609026,0,1.384164453,12.94678211,11.55343056,11.00905991,10.27090931,10.32773113,13.65638733,6.912678242,17.44545364,16.94570732,15.4458437,34,34.31707382,34.17511749,34.20154953,35.09943771,29.09714317,29.09714317,28.41881943,28.47829819,29.24797821,2,2.069892406,2.052463293,2.044748545,1.947020173,18.6567173,20.80302238,17.69549942,16.20542145,15.06414509,18,19.64051437,16.58206367,15.16552353,14.72443485,Aug,1,2.079441547,429.6494751,530.5999756,100.9505005,6.062969685,36.75960159,6.274008274,39.36318207,22.15999985,26.58666611,4.42666626,3.098288774,9.599393845,3.280409813,10.76108837,9.630000114,13,3.369999886,2.26488328,5.129695892,2.564949274,6.578965187,18.784832,13.73191833,20.5813179,16.09251404,7.017262459,8.414085388,Rift Valley,Uasin Gishu,Moiben,Sergoit,Chepkoilel,Tugen Estate,LH  - Lower highland,LH3,High Potential Maize Zone,37,form 1,0,28.625,3.5,,,,0.699999988,35.40000153,429.6494751,,0.5,405,9.63,22.16,Apr,22.05999947,9.682499886,404.75,5.5,26.58666611,13,530.5999756,0,32,1864,0.492446303,0.396475762,mod deep - deep,1,1.386294365,1,7.282637596,6.308077812,2.614207268,1,4.60517025,3.526360512,0,0,3.370640039,1,4.60517025,0.693147182,1,5.303304672,2.92620635,1,5.298317432,2.890371799,0,1,1,3.465735912,0,0,1,7.530479908,1,-2.302585125,1,1.098612309,1,1.098612309,1,2.197224617,1,1.252762914,1,3.610917807,1,3.354280472
5,1,7.5,2.014903069,2.2,2.5,0,1,1,1,0,94500,9600,18000,8450,24750,3900,26450,104100,112500,108000,130550,128850,153399.0781,71500,153399.0781,108000,11.94079781,11.58988667,22950,12266.5,0,0,10310,1660,1660,1660,10310,10310,1367.9104,11100,12467.91016,1373.125,4000,5373.125,461.1111145,3000,3461.111084,841.9354858,8100,8941.935547,22950,11900,5600,300,26700,17800,4100.5,1100,61916.5,63284.41016,63289.625,62377.60938,62758.43359,73016.5,65916.5,64916.5,70016.5,74384.40625,67289.625,65377.60938,70858.4375,63284.41016,1660,11.05539417,7.414572716,1575.037231,865.9759521,46.66666794,26.66666603,20,127.4666672,93.33333588,350,200,150,956,700,11812.7793,8504.889648,6494.819824,4500,80,118.75,105.223877,108.3333359,130,100,105.625,115.2777786,93.54838562,13,105.4893646,13,4,9,38.01418686,28.51063919,76.97872925,0,0,0,0,0,0,8,8,0,4.65609026,2.564949274,4.658610344,12.98585796,11.55343056,11.00905991,10.27090931,10.32773113,8.406929016,6.912678242,17.44545364,16.94570732,15.4458437,34,34.31707382,34.17511749,34.20154953,35.09943771,28,29.09714317,28.41881943,28.47829819,29.24797821,2,2.069892406,2.052463293,2.044748545,1.947020173,27.92887115,20.80302238,17.69549942,16.20542145,15.06414509,25.4285717,19.64051437,16.58206367,15.16552353,14.72443485,Aug,1,2.079441547,429.6494751,530.5999756,100.9505005,6.062969685,36.75960159,6.274008274,39.36318207,22.15999985,26.58666611,4.42666626,3.098288774,9.599393845,3.280409813,10.76108837,9.630000114,13,3.369999886,2.26488328,5.129695892,2.564949274,6.578965187,18.784832,13.73191833,20.5813179,16.09251404,7.017262459,8.414085388,Rift Valley,Uasin Gishu,Moiben,Sergoit,Chepkoilel,Tugen Estate,LH  - Lower highland,LH3,High Potential Maize Zone,34,form 5,1,46,4.400000095,,,,0.699999988,35.40000153,429.6494751,,0.5,405,9.63,22.16,Apr,22.05999947,9.682499886,404.75,5.5,26.58666611,13,530.5999756,0,0,8,0.719973624,0.529107392,mod deep - deep,1,1.386294365,1,8.778759956,6.763857365,2.129056215,1,5.857933044,3.526360512,1,5.298317432,3.33220458,1,5.010635376,0.693147182,1,6.862757683,3.329660892,1,6.551080227,3.235873461,1,1,0,0,0,0,1,2.079441547,1,-2.302585125,1,1.945910096,1,0.693147182,1,2.564949274,1,1.481604576,1,3.526360512,1,3.828641415
6,1,14.10000038,2.646174908,6.608333333,7.75,0,1,1,1,0,15000,0,18000,7350,13950,3000,25350,15000,33000,18000,40350,28950,159465,59500,159465,18000,11.97957993,9.798127174,38390,25279,0,0,13580,10100,10100,10100,13580,13580,0,3980,3980,0,2630,2630,0,1000,1000,0,2980,2980,38390,21250,7700,600,44100,29550,2552,2550,107769,107769,107769,107769,107769,111749,110399,108769,110749,111749,110399,108769,110749,107769,10100,11.58774567,9.220291138,790.767395,384.0297546,44.32624054,19.50354576,19.8581562,115.6737595,83.6879425,625,275,280,1631,1180,11149.82031,8290,5414.819824,3600,100,118.75,105.223877,108.3333359,130,100,105.625,115.2777786,93.54838562,0,37.82411575,0,0,0,24.99432755,9.503546715,28.32056808,0,0,0,48,48,0,8,8,54,4.65609026,0,3.632946968,14.30202389,11.55343056,11.00905991,10.27090931,10.32773113,7.177321911,6.912678242,17.44545364,16.94570732,15.4458437,34,34.31707382,34.17511749,34.20154953,35.09943771,28,29.09714317,28.41881943,28.47829819,29.24797821,2.142857075,2.069892406,2.052463293,2.044748545,1.947020173,27.03862572,20.80302238,17.69549942,16.20542145,15.06414509,25.04237366,19.64051437,16.58206367,15.16552353,14.72443485,Aug,1,2.079441547,429.6494751,530.5999756,100.9505005,6.062969685,36.75960159,6.274008274,39.36318207,22.15999985,26.58666611,4.42666626,3.098288774,9.599393845,3.280409813,10.76108837,9.630000114,13,3.369999886,2.26488328,5.129695892,2.564949274,6.578965187,18.784832,13.73191833,20.5813179,16.09251404,7.017262459,8.414085388,Rift Valley,Uasin Gishu,Moiben,Sergoit,Chepkoilel,Tugen Estate,LH  - Lower highland,LH3,High Potential Maize Zone,16,std 7,1,23.88888931,5.666666508,,,,0.699999988,35.40000153,429.6494751,,0.5,405,9.63,22.16,Apr,22.05999947,9.682499886,404.75,5.5,26.58666611,13,530.5999756,0,48,62,0.743509769,0.434258133,mod deep - deep,1,1.386294365,1,8.596895218,5.950719833,1.970926285,1,6.43775177,3.526360512,1,5.616771221,3.33220458,1,5.634789467,0.762140036,1,7.396948814,3.297266483,1,7.073269844,3.220569372,0,1,1,3.871201038,0,0,1,4.127134323,1,-0.91629076,1,1.791759491,1,0.693147182,1,1.945910096,1,1.734601021,1,2.77258873,1,3.173413515
8,1,7,1.945910096,3.691666667,4.583333333,80100,1,1,1,0,0,9600,19500,-3000,55350,15000,16500,9600,19500,24600,26100,64950,112625,24750,112625,24600,11.63181877,10.11050129,16200,14142.5,61500,0,28700,21500,83000,21500,90200,28700,8944.029297,2500,11444.0293,8978.125,500,9478.125,9222.222656,2000,11222.22266,467.7419434,500,967.7419434,15900,14450,5600,0,23900,20050,4720.75,2300,54242.5,63186.53125,63220.625,63464.72266,54710.24219,56742.5,54742.5,56242.5,54742.5,65686.53125,63720.625,65464.72266,55210.24219,63186.53125,21500,11.05384636,9.975808144,1107.144287,322.4871216,60.7142868,28.5714283,0,104.2857132,89.2857132,425,200,0,730,625,7750.009766,5483,2257.409912,900,100,118.75,105.223877,108.3333359,130,100,105.625,115.2777786,93.54838562,85,23.75886726,85,80,5,4.751773357,19.00709343,4.751773357,0,0,0,117,36,86,16,16,8,4.65609026,4.442651272,3.167955875,14.53223991,11.55343056,11.00905991,10.27090931,10.32773113,4.513952255,6.912678242,17.44545364,16.94570732,15.4458437,34,34.31707382,34.17511749,34.20154953,35.09943771,28,29.09714317,28.41881943,28.47829819,29.24797821,2.069892406,2.069892406,2.052463293,2.044748545,1.947020173,32.73972702,20.80302238,17.69549942,16.20542145,15.06414509,32.08000183,19.64051437,16.58206367,15.16552353,14.72443485,Aug,1,2.079441547,429.6494751,530.5999756,100.9505005,6.062969685,36.75960159,6.274008274,39.36318207,22.15999985,26.58666611,4.42666626,3.098288774,9.599393845,3.280409813,10.76108837,9.630000114,13,3.369999886,2.26488328,5.129695892,2.564949274,6.578965187,18.784832,13.73191833,20.5813179,16.09251404,7.017262459,8.414085388,Rift Valley,Uasin Gishu,Moiben,Sergoit,Chepkoilel,Tugen Estate,LH  - Lower highland,LH3,High Potential Maize Zone,20,pre school,0,28.2857151,4.142857075,,,,0.699999988,35.40000153,429.6494751,,0.5,405,9.63,22.16,Apr,22.05999947,9.682499886,404.75,5.5,26.58666611,13,530.5999756,0,122,24,0.707482994,0.164143711,mod deep - deep,1,1.386294365,1,7.721973419,5.776062965,1.507173061,1,6.052089214,3.526360512,1,5.298317432,3.33220458,0,0,0.727496624,1,6.593044758,3.488589287,1,6.43775177,3.46823287,1,1,1,4.804020882,0,0,1,3.178053856,1,-2.302585125,1,2.708050251,1,1.609437943,0,0,1,1.421385646,1,2.995732307,1,3.34235692
9,1,1.139999986,0.13102825,2.66,3,8900,1,1,1,0,15000,0,500,-750,0,4000,-250,15000,15500,19000,14750,15000,31363.00586,19500,31363.00586,19000,10.35338402,9.852193832,1980,2377,5500,0,790,280,5780,280,6290,790,0,0,0,0,0,0,0,0,0,0,0,0,1980,945,1400,0,3170,2345,1341.5,1300,7527,7527,7527,7527,7527,7527,7527,7527,7527,7527,7527,7527,7527,7527,280,8.926251411,5.634789467,2213.087646,1591.947388,23.68421173,43.85964966,0,89.47368622,67.54386139,27,50,0,102,77,2522.919922,1123.800049,1814.819946,810,100,118.75,105.223877,108.3333359,130,100,105.625,115.2777786,93.54838562,0,0,0,0,0,0,0,0,0,0,0,90,26,64,486,354,184,4.65609026,0,0,12.43123341,11.55343056,11.00905991,10.27090931,10.32773113,17.35184097,6.912678242,17.44545364,16.94570732,15.4458437,35,34.31707382,34.17511749,34.20154953,35.09943771,28,29.09714317,28.41881943,28.47829819,29.24797821,2.069892406,2.069892406,2.052463293,2.044748545,1.947020173,31.07843208,20.80302238,17.69549942,16.20542145,15.06414509,30.45454597,19.64051437,16.58206367,15.16552353,14.72443485,Aug,1,2.079441547,429.6494751,530.5999756,100.9505005,6.062969685,36.75960159,6.274008274,39.36318207,22.15999985,26.58666611,4.42666626,3.098288774,9.599393845,3.280409813,10.76108837,9.630000114,13,3.369999886,2.26488328,5.129695892,2.564949274,6.578965187,18.784832,13.73191833,20.5813179,16.09251404,7.017262459,8.414085388,Rift Valley,Uasin Gishu,Moiben,Sergoit,Chepkoilel,Tugen Estate,LH  - Lower highland,LH3,High Potential Maize Zone,21,form 5,1,31,10,,,,0.699999988,35.40000153,429.6494751,,0.5,405,9.63,22.16,Apr,22.05999947,9.682499886,404.75,5.5,26.58666611,13,530.5999756,0,90,538,0.445436269,0.720768809,mod deep - deep,1,1.386294365,1,7.503741741,7.372713089,2.853698492,1,3.295836926,3.555348158,1,3.912023067,3.33220458,0,0,0.727496624,1,4.62497282,3.436514139,1,4.343805313,3.416235209,0,0,1,4.499809742,0,0,1,6.287858486,1,0.693147182,1,2.079441547,1,1.609437943,1,2.564949274,1,2.302585125,1,3.044522524,1,3.433987141
10,1,0.899999976,-0.105360545,3.12,3,0,1,1,1,0,0,900,18500,-600,18000,750,17900,900,18500,1650,18800,18900,71741,11500,71741,1650,11.1808176,7.408530712,1650,1257,7000,0,5960,800,7800,800,12960,5960,0,0,0,0,0,0,0,0,0,0,0,0,1650,1050,640,3500,5190,5190,144.3999939,120,8097,8097,8097,8097,8097,8097,8097,8097,8097,8097,8097,8097,8097,8097,800,8.999248505,6.684611797,9452.244141,1216.466675,33.33333588,22.22222328,1944.444458,2000,2000,30,20,1750,1800,1800,8507.019531,4924,1094.819946,0,80,118.75,105.223877,108.3333359,130,100,105.625,115.2777786,93.54838562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,672,235,504,4.65609026,0,0,8.433153152,11.55343056,11.00905991,10.27090931,10.32773113,2.335499525,6.912678242,17.44545364,16.94570732,15.4458437,35,34.31707382,34.17511749,34.20154953,35.09943771,32,29.09714317,28.41881943,28.47829819,29.24797821,2,2.069892406,2.052463293,2.044748545,1.947020173,2.883333445,20.80302238,17.69549942,16.20542145,15.06414509,2.883333445,19.64051437,16.58206367,15.16552353,14.72443485,Aug,1,2.079441547,429.6494751,530.5999756,100.9505005,6.062969685,36.75960159,6.274008274,39.36318207,22.15999985,26.58666611,4.42666626,3.098288774,9.599393845,3.280409813,10.76108837,9.630000114,13,3.369999886,2.26488328,5.129695892,2.564949274,6.578965187,18.784832,13.73191833,20.5813179,16.09251404,7.017262459,8.414085388,Rift Valley,Uasin Gishu,Moiben,Sergoit,Chepkoilel,Tugen Estate,LH  - Lower highland,LH3,High Potential Maize Zone,21,form 3,0,26.16666603,7,,,,0.699999988,35.40000153,429.6494751,,0.5,405,9.63,22.16,Apr,22.05999947,9.682499886,404.75,5.5,26.58666611,13,530.5999756,0,0,739,0.578816116,0,mod deep - deep,1,1.386294365,1,6.998345375,7.103705883,0.848225772,1,3.401197433,3.555348158,1,2.995732307,3.465735912,1,7.467370987,0.693147182,1,7.495542049,1.058947086,1,7.495542049,1.058947086,0,0,0,0,0,0,1,6.605298042,1,1.098612309,1,2.302585125,1,2.708050251,1,2.397895336,1,1.945910096,1,3.044522524,1,3.264486313
11,1,3,1.098612309,5.633333333,6.916666667,32500,1,1,1,0,0,2700,6000,-1650,63000,720,4350,2700,6000,3420,7050,65700,91500,81500,91500,3420,11.4240942,8.137395859,5400,4721.6,0,0,4540,2720,2720,2720,4540,4540,0,3400,3400,0,2800,2800,0,0,0,0,3400,3400,5400,6800,0,0,11600,6800,260,260,21721.59961,21721.59961,21721.59961,21721.59961,21721.59961,25121.59961,24521.59961,21721.59961,25121.59961,25121.59961,24521.59961,21721.59961,25121.59961,21721.59961,2720,9.98606205,7.908387184,2584.939941,2464.939941,66.66666412,0,0,116.6666641,66.66666412,200,0,0,350,200,7754.819824,4770,7394.819824,4500,100,118.75,105.223877,108.3333359,130,100,105.625,115.2777786,93.54838562,0,32.3120575,0,0,0,26.60993004,0,32.3120575,0,0,0,134,107,54,758,572,294,4.65609026,0,3.475440502,11.79911327,11.55343056,11.00905991,10.27090931,10.32773113,17.08595467,6.912678242,17.44545364,16.94570732,15.4458437,34,34.31707382,34.17511749,34.20154953,35.09943771,29.09714317,29.09714317,28.41881943,28.47829819,29.24797821,2.069892406,2.069892406,2.052463293,2.044748545,1.947020173,33.1428566,20.80302238,17.69549942,16.20542145,15.06414509,34,19.64051437,16.58206367,15.16552353,14.72443485,Aug,1,2.079441547,429.6494751,530.5999756,100.9505005,6.062969685,36.75960159,6.274008274,39.36318207,22.15999985,26.58666611,4.42666626,3.098288774,9.599393845,3.280409813,10.76108837,9.630000114,13,3.369999886,2.26488328,5.129695892,2.564949274,6.578965187,18.784832,13.73191833,20.5813179,16.09251404,7.017262459,8.414085388,Rift Valley,Uasin Gishu,Moiben,Sergoit,Chepkoilel,Tugen Estate,LH  - Lower highland,LH3,High Potential Maize Zone,21,form 5,1,26.11111069,7.777777672,,,,0.699999988,35.40000153,429.6494751,,0.5,405,9.63,22.16,Apr,22.05999947,9.682499886,404.75,5.5,26.58666611,13,530.5999756,0,161,866,0.615101337,0.943396211,mod deep - deep,1,1.386294365,1,8.908535004,7.809922695,2.838256836,1,5.298317432,3.526360512,0,0,3.370640039,0,0,0.727496624,1,5.857933044,3.500827312,1,5.298317432,3.526360512,0,1,1,5.081404209,0,0,1,6.763885021,1,-0.693147182,1,1.791759491,1,1.098612309,1,2.564949274,1,2.051270723,1,3.044522524,1,3.262360811
12,1,2.5,0.91629076,3.991666667,4.583333333,42500,1,1,1,0,15000,750,6000,-3750,30600,640,2250,15750,21000,16390,18000,46350,24071.59961,10750,24071.59961,16390,10.08878803,9.704426765,0,3364.8,0,0,1400,320,320,320,1400,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,960,3500,4460,4460,1240,1240,7824.799805,7824.799805,7824.799805,7824.799805,7824.799805,7824.799805,7824.799805,7824.799805,7824.799805,7824.799805,7824.799805,7824.799805,7824.799805,7824.799805,320,8.965053558,5.768321037,625.1239624,398.9639893,0,12,672,684,684,0,30,1680,1710,1710,1562.809937,900,997.4099731,720,100,118.75,105.223877,108.3333359,130,100,105.625,115.2777786,93.54838562,0,0,0,0,0,0,0,0,0,0,0,386,224,162,684,720,252,4.65609026,0,0,15.40276814,11.55343056,11.00905991,10.27090931,10.32773113,11.94444466,6.912678242,17.44545364,16.94570732,15.4458437,34.31707382,34.31707382,34.17511749,34.20154953,35.09943771,32,29.09714317,28.41881943,28.47829819,29.24797821,2.083333254,2.069892406,2.052463293,2.044748545,1.947020173,2.608187199,20.80302238,17.69549942,16.20542145,15.06414509,2.608187199,19.64051437,16.58206367,15.16552353,14.72443485,Aug,1,2.079441547,429.6494751,530.5999756,100.9505005,6.062969685,36.75960159,6.274008274,39.36318207,22.15999985,26.58666611,4.42666626,3.098288774,9.599393845,3.280409813,10.76108837,9.630000114,13,3.369999886,2.26488328,5.129695892,2.564949274,6.578965187,18.784832,13.73191833,20.5813179,16.09251404,7.017262459,8.414085388,Rift Valley,Uasin Gishu,Moiben,Sergoit,Chepkoilel,Tugen Estate,LH  - Lower highland,LH3,High Potential Maize Zone,49,form 1,0,23.625,8.125,,,,0.699999988,35.40000153,429.6494751,,0.5,405,9.63,22.16,Apr,22.05999947,9.682499886,404.75,5.5,26.58666611,13,530.5999756,0,386,972,0.575885773,0.800000012,mod deep - deep,1,1.386294365,1,6.905161858,5.988871098,2.480266333,0,0,3.535643101,1,3.401197433,3.465735912,1,7.426548958,0.733969152,1,7.444248676,0.958655417,1,7.444248676,0.958655417,0,0,1,5.95583725,0,0,1,6.879355907,1,-0.356674939,1,1.609437943,1,2.708050251,1,2.197224617,1,2.094945669,1,3.891820192,1,3.162305355
